profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
363,1510830,2019-12-23,2019-12-24,2,4,20,40,20,0.833333333333
364,1510830,2019-12-24,2019-12-25,4,8,40,80,40,1.66666666667
365,1510830,2019-12-26,2019-12-27,0,0,0,0,0,0
366,1510830,2019-12-27,2019-12-28,0,4,0,40,40,1.66666666667
367,1510830,2019-12-28,2019-12-29,4,6,40,60,20,0.833333333333
368,1510830,2019-12-30,2019-12-31,0,0,0,0,0,0
369,1510830,2019-12-31,2020-01-01,0,0,0,0,0,0
370,1510830,2020-01-01,2020-01-02,0,0,0,0,0,0
371,1510830,2020-01-02,2020-01-03,0,0,0,0,0,0
372,1510830,2020-01-03,2020-01-04,0,4,0,40,40,1.66666666667
373,1510830,2020-01-04,2020-01-05,4,4,40,40,0,0
374,1510830,2020-01-05,2020-01-06,4,4,40,40,0,0
375,1510830,2020-01-06,2020-01-07,4,6,40,60,20,0.833333333333
376,1510830,2020-01-08,2020-01-09,0,0,0,0,0,0
377,1510830,2020-01-09,2020-01-10,0,0,0,0,0,0
378,1510830,2020-01-10,2020-01-11,0,0,0,0,0,0
379,1510830,2020-01-11,2020-01-12,0,4,0,40,40,1.66666666667
380,1510830,2020-01-12,2020-01-13,4,4,40,40,0,0
381,1510830,2020-01-13,2020-01-14,4,4,40,40,0,0
382,1510830,2020-01-14,2020-01-15,4,6,40,60,20,0.833333333333
383,1510830,2020-01-15,2020-01-16,6,6,60,60,0,0
384,1510830,2020-01-17,2020-01-18,0,0,0,0,0,0
385,1510830,2020-01-18,2020-01-19,0,0,0,0,0,0
386,1510830,2020-01-19,2020-01-20,0,0,0,0,0,0
387,1510830,2020-01-20,2020-01-21,0,6,0,60,60,2.5
388,1510830,2020-01-22,2020-01-23,0,0,0,0,0,0
389,1510830,2020-01-23,2020-01-24,0,6,0,60,60,2.5
390,1510830,2020-01-25,2020-01-26,0,6,0,60,60,2.5
